Species	Mitochondrial genome accession	Gene count	ATP6	ATP8	COX1	COX2	COX3	CYTB	ND1	ND2	ND3	ND4	ND4L	ND5	ND6	rRNA-12S	rRNA-16S	tRNA-Ala	tRNA-Arg	tRNA-Asn	tRNA-Asp	tRNA-Cys	tRNA-Gln	tRNA-Glu	tRNA-Gly	tRNA-His	tRNA-Ile	tRNA-Leu	tRNA-Lys	tRNA-Met	tRNA-Phe	tRNA-Pro	tRNA-Ser	tRNA-Thr	tRNA-Trp	tRNA-Tyr	tRNA-Val
Diaphanosoma dubium	MG428405.1	35	AVP74678.1	AVP74677.1	AVP74675.1	AVP74676.1	AVP74679.1	AVP74685.1	AVP74686.1	AVP74674.1	AVP74680.1	AVP74682.1	AVP74683.1	AVP74681.1	AVP74684.1	complement(15186..15947)	complement(13749..15114)	7001..7063	7069..7135	1432..1495	4891..4954	complement(1284..1346)	complement(13522..13590)	complement(13600..13665)	6577..6639	complement(8957..9020)	7138..7202	4077..4142;complement(13705..13772)	4823..4891	13389..13452	complement(13456..13521)	complement(10706..10770)	103..160;12391..12459	10641..10705	1218..1282	complement(1353..1418)	complement(15115..15186)
Dibamus novaeguineae	FJ195390.1	32	ACH99448.1	ACH99447.1	ACH99445.1	ACH99446.1	ACH99449.1	ACH99455.1	ACH99443.1	ACH99444.1	ACH99450.1	ACH99452.1	ACH99451.1	ACH99453.1	ACH99454.1	22..960	1030..2562	complement(4925..4991)	9706..9774	complement(4992..5065)	6840..6910	complement(5093..5157)	complement(3680..3752)	complement(13997..14067)	9290..9359	11446..11514	3608..3679	2563..2637;11583..11654	7599..7664	3753..3820	-	-	complement(6769..6839);11517..11582	-	4856..4924	complement(5158..5227)	961..1029
Diplostomoidea sp. MSB para 30071	MN834120.1	33	QYC97731.1	-	QYC97733.1	QYC97734.1	QYC97730.1	QYC97737.1	QYC97740.1	-	QYC97741.1	QYC97739.1	QYC97738.1	QYC97736.1	QYC97735.1	2730..3484	1682..2664	12637..12700	4857..4917	13754..13815	12704..12768	2665..2729	10356..10418	6512..6577	6896..6961	7650..7714	13816..13881	4630..4695;4771..4835	13893..13963	11001..11068	10919..10982	13685..13745	4696..4762;14327..14386	1619..1681	14393..14456	4562..4625	12567..12630
Dollfustrema vaneyi	PP860916.1	33	XBQ65885.1	-	XBQ65889.1	XBQ65890.1	XBQ65881.1	XBQ65882.1	XBQ65887.1	XBQ65886.1	XBQ65888.1	XBQ65884.1	XBQ65883.1	XBQ65892.1	-	9467..10233	8449..9409	5041..5102	11538..11597	6062..6126	5103..5162	9408..9475	3352..3414	13189..13249	13251..13313	656..718	6192..6256	11341..11402;11472..11532	6267..6332	3492..3557	3419..3481	6127..6192	6702..6755;11405..11468	8387..8448	6758..6818	11276..11339	4981..5040
Dracogyra subfuscus	MW893457.1	35	UXG19114.1	UXG19113.1	UXG19115.1	UXG19112.1	UXG19118.1	UXG19108.1	UXG19106.1	UXG19116.1	UXG19117.1	UXG19110.1	UXG19109.1	UXG19111.1	UXG19107.1	519..1396	1444..2814	complement(14330..14396)	complement(14252..14321)	complement(14186..14251)	9903..9968	complement(15414..15475)	complement(15544..15616)	4444..4509	complement(15270..15334)	7407..7472	complement(14117..14185)	2790..2854;2863..2929	complement(14406..14472)	453..520	complement(10954..11020)	3875..3941	5658..5724;complement(13693..13759)	complement(10861..10932)	complement(15476..15542)	complement(15346..15413)	1389..1453
Echiniscus testudo	LC385650.1	35	BBE15725.1	BBE15724.1	BBE15722.1	BBE15723.1	BBE15726.1	BBE15732.1	BBE15733.1	BBE15734.1	BBE15727.1	BBE15729.1	BBE15730.1	BBE15728.1	BBE15731.1	complement(14026..14716)	complement(10475..11172)	4243..4304	4305..4362	4364..4426	2263..2324	complement(15704..15749)	complement(13902..13965)	4489..4552	3862..3923	complement(6194..6258)	complement(13843..13905)	complement(10393..10453);complement(10458..10512)	2205..2265	14681..14741	complement(4555..4614)	complement(7757..7819)	4424..4489;9443..9496	7831..7891	15650..15711	complement(15750..15810)	complement(13973..14026)
Echinoderes svetlanae	KU975552.1	35	APA17419.1	APA17414.1	APA17413.1	APA17418.1	APA17420.1	APA17423.1	APA17415.1	APA17416.1	APA17422.1	APA17424.1	APA17417.1	APA17425.1	APA17421.1	1987..2752	3438..4451	7149..7214	13285..13351	7977..8046	7083..7146	6646..6707	6435..6502	1848..1912	2764..2833	13426..13494	6572..6640	1913..1982;2986..3059	3229..3295	6499..6566;9666..9728	13352..13421	6717..6786	9600..9661;13136..13205	7221..7288	13496..13564	13212..13279	2915..2981
Echinorhynchus gadi	PV976760.1	34	XYE65914.1	-	XYE65912.1	XYE65921.1	XYE65922.1	XYE65919.1	XYE65920.1	XYE65923.1	XYE65915.1	XYE65917.1	XYE65916.1	XYE65918.1	XYE65913.1	14499..15078	1687..2608	16570..16622	16622..16677	16669..16723	3099..3151	15781..15832	1582..1633	8462..8515	1539..1591	10187..10237	14385..14438	2609..2662;11899..11951	8407..8467	14442..14498	15079..15131	11960..12012	8572..8624;16722..16776	8517..8571	4206..4266;4867..4927;6836..6896	1634..1686	6707..6766;8353..8412
Emplectonema gracile	JF727825.1	35	AEC12108.1	AEC12107.1	AEC12104.1	AEC12106.1	AEC12115.1	AEC12111.1	AEC12109.1	AEC12105.1	AEC12116.1	AEC12113.1	AEC12112.1	AEC12114.1	AEC12110.1	4570..5343	5411..6518	13903..13968	14112..14174	14176..14241	3508..3572	4443..4505	14043..14111	12928..12990	12991..13053	11075..11135	14244..14307	6512..6574;6585..6646	13836..13899	4506..4569	13969..14030	complement(7642..7705)	1730..1789;9298..9367	complement(9368..9430)	1561..1629	7576..7638	5344..5410
Enteromyxum leei	LN868201.1	2	-	-	-	-	-	-	-	-	-	-	-	CRX66570.1	-	-	876..3098	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Eptatretus burgeri	AJ278504.1	35	CAC42107.1	CAC42106.1	CAC42104.1	CAC42105.1	CAC42108.1	CAC42114.1	CAC42102.1	CAC42103.1	CAC42109.1	CAC42111.1	CAC42110.1	CAC42112.1	CAC42113.1	14616..15474	15546..17091	complement(2289..2355)	7070..7134	complement(2356..2421)	4187..4252	complement(2422..2486)	complement(1028..1098)	complement(11293..11359)	6635..6701	8791..8855	957..1022	8919..8989;17092..17166	4937..5000	1103..1170	14546..14615	complement(12617..12687)	complement(4111..4181);8856..8916	12542..12611	2225..2289	complement(2495..2560)	15475..15545
Eptatretus carlhubbsi	OP057058.2	35	WNH24127.1	WNH24126.1	WNH24124.1	WNH24125.1	WNH24128.1	WNH24134.1	WNH24122.1	WNH24123.1	WNH24129.1	WNH24131.1	WNH24130.1	WNH24132.1	WNH24133.1	68..934	1006..2550	complement(4916..4979)	9693..9756	complement(4980..5045)	6808..6872	complement(5049..5113)	complement(3652..3723)	complement(13916..13984)	9259..9324	11414..11479	3583..3648	2551..2624;11542..11612	7559..7625	3728..3797	1..67	complement(15239..15309)	complement(6732..6802);11480..11539	15165..15232	4852..4916	complement(5119..5186)	935..1005
Ergasilus kandti	PQ276880.1	35	XLZ92373.1	XLZ92372.1	XLZ92368.1	XLZ92366.1	XLZ92369.1	XLZ92362.1	XLZ92365.1	XLZ92363.1	XLZ92367.1	XLZ92361.1	XLZ92371.1	XLZ92364.1	XLZ92370.1	3047..3666	216..1093	complement(14065..14122)	complement(13948..14002)	complement(6421..6482)	6199..6256	complement(13891..13948)	complement(10261..10322)	6255..6316	complement(2185..2243)	complement(14123..14180)	complement(14003..14063)	complement(2122..2183);complement(12485..12545)	complement(2054..2115)	6077..6139	complement(8509..8566)	6140..6202	complement(6309..6366);6367..6424	14358..14411	complement(7527..7586)	11286..11343	complement(3667..3724)
Erpetoichthys calabaricus	AY442348.1	35	AAR16108.1	AAR16107.1	AAR16105.1	AAR16106.1	AAR16109.1	AAR16115.1	AAR16103.1	AAR16104.1	AAR16110.1	AAR16112.1	AAR16111.1	AAR16113.1	AAR16114.1	72..1072	1144..2793	complement(5144..5212)	9961..10030	complement(5215..5287)	7083..7151	complement(5323..5388)	complement(3897..3967)	complement(14253..14321)	9545..9614	11702..11770	3828..3898	2794..2868;11839..11911	7846..7918	3967..4036	1..71	complement(15536..15605)	complement(7010..7080);11771..11836	15465..15535	5073..5142	complement(5390..5460)	1073..1143
Eucidaris tribuloides	MH614961.1	33	QEF30095.1	QEF30094.1	QEF30091.1	QEF30093.1	QEF30096.1	QEF30101.1	QEF30089.1	QEF30090.1	QEF30097.1	-	-	QEF30099.1	QEF30100.1	74..983	4333..5909	1562..1631	7470..7538	1419..1490	1940..2009	1705..1774	1345..1416	987..1055	2081..2148	12079..12147	3202..3273	1491..1562;2150..2222	8548..8617	1862..1933	1..73	1273..1342	10251..10320;12149..12217	1058..1129	1636..1704	2012..2081	1774..1843
Eurylepta cornuta	MF993334.1	29	-	-	-	AVP74417.1	AVP74416.1	-	-	AVP74414.1	AVP74413.1	-	AVP74415.1	AVP74412.1	AVP74411.1	11815..12604	1765..2735	15507..15569	11432..11495	6847..6917	5019..5083	11775..11837	5152..5213	2740..2803	1588..1648	8608..8670	6920..6982	2684..2745;5086..5145	5280..5342	14120..14181	11653..11717	5214..5276	3303..3364;5700..5763	8547..8606	15790..15852	11713..11774	15690..15752
Falcidens halanychi	MF568515.1	35	AWH02131.1	AWH02132.1	AWH02134.1	AWH02135.1	AWH02136.1	AWH02133.1	AWH02137.1	AWH02138.1	AWH02139.1	AWH02140.1	AWH02141.1	AWH02142.1	AWH02143.1	complement(9361..10154)	complement(10406..11560)	11686..11747	11747..11808	13133..13188	2221..2282	complement(10215..10275)	complement(10277..10343)	12182..12241	complement(12062..12122)	complement(4831..4890)	11810..11875	complement(9235..9295);complement(9296..9360)	13017..13075	complement(10155..10214)	complement(11877..11938)	8247..8307	complement(6582..6639);13075..13132	6523..6583	complement(11624..11684)	complement(10344..10405)	complement(11561..11621)
Flaccisagitta enflata	AP011547.1	14	-	-	BAI68191.1	BAI68181.1	BAI68185.1	BAI68189.1	BAI68182.1	BAI68184.1	BAI68183.1	BAI68186.1	BAI68188.1	BAI68187.1	BAI68190.1	3729..4348	9951..11059	-	-	-	-	-	-	-	-	-	-	-	-	3647..3728	-	-	-	-	-	-	-
Fregata minor	MZ681908.1	35	UFP92447.1	UFP92446.1	UFP92444.1	UFP92445.1	UFP92448.1	UFP92453.1	UFP92442.1	UFP92443.1	UFP92449.1	UFP92451.1	UFP92450.1	UFP92452.1	UFP92454.1	70..1045	1154..2708	complement(5108..5176)	9888..9958	complement(5179..5251)	7013..7081	complement(5257..5323)	complement(3858..3928)	complement(15510..15579)	9465..9533	11628..11697	3777..3848	2708..2781;11764..11834	7768..7838	3928..3997	1..70	complement(14907..14976)	complement(6937..7010);11698..11763	14815..14883	5037..5106	complement(5323..5393)	1045..1115
Geotria australis	OP781304.1	35	WAB46083.1	WAB46082.1	WAB46080.1	WAB46081.1	WAB46084.1	WAB46077.1	WAB46078.1	WAB46079.1	WAB46085.1	WAB46087.1	WAB46086.1	WAB46088.1	WAB46089.1	1332..2241	2313..3939	complement(6359..6427)	11170..11233	complement(6432..6500)	8269..8337	complement(6504..6570)	complement(5104..5174)	complement(16382..16452)	10742..10813	12907..12976	5033..5101	3940..4013;13047..13118	9040..9107	5178..5244	1263..1331	complement(1184..1254)	complement(8197..8267);12977..13045	16302..16373	6288..6355	complement(6580..6651)	2242..2312
Gephyroherpia sp.	PP333952.1	35	XGY06778.1	XGY06777.1	XGY06775.1	XGY06776.1	XGY06772.1	XGY06782.1	XGY06784.1	XGY06774.1	XGY06773.1	XGY06780.1	XGY06781.1	XGY06779.1	XGY06783.1	complement(14018..14747)	complement(12788..13953)	1072..1126	14422..14482	1129..1195	4916..4978	complement(14812..14874)	complement(15003..15077)	complement(15198..15261)	complement(15070..15134)	complement(8151..8211)	1008..1072	complement(12721..12787);complement(15140..15197)	146..210	complement(14748..14809)	5821..5883	5738..5799	1548..1609;complement(10172..10232)	5677..5745	complement(14941..15005)	complement(14878..14940)	complement(13954..14017)
Glycera capitata	KT989319.1	35	ALQ78795.1	ALQ78791.1	ALQ78789.1	ALQ78790.1	ALQ78792.1	ALQ78794.1	ALQ78799.1	ALQ78801.1	ALQ78800.1	ALQ78798.1	ALQ78797.1	ALQ78796.1	ALQ78793.1	9701..10509	10737..11760	11943..12008	5784..5847	1537..1599	2291..2355	9511..9572	3361..3429	7678..7740	9574..9636	5849..5912	13629..13693	11810..11873;12632..12694	13694..13759	9637..9701	7615..7677	7741..7803	11874..11939;14113..14180	7812..7875	5026..5089	2514..2577	10504..10567
Gononemertes parasita	KF572481.1	35	AGZ63900.1	AGZ63899.1	AGZ63896.1	AGZ63898.1	AGZ63894.1	AGZ63890.1	AGZ63901.1	AGZ63897.1	AGZ63895.1	AGZ63892.1	AGZ63891.1	AGZ63893.1	AGZ63889.1	11677..12513	12579..13686	6310..6373	6519..6583	6592..6657	10604..10668	11546..11612	6450..6518	5315..5381	5388..5451	3521..3590	6665..6729	13687..13750;13756..13818	6241..6309	11613..11676	6374..6439	complement(68..133)	1739..1797;8839..8905	complement(1798..1862)	8650..8718	1..66	12514..12578
Gordionus alpestris	MG257765.1	35	QDH52421.1	QDH52422.1	QDH52410.1	QDH52411.1	QDH52412.1	QDH52413.1	QDH52414.1	QDH52415.1	QDH52416.1	QDH52417.1	QDH52418.1	QDH52419.1	QDH52420.1	complement(12987..13691)	complement(11784..12918)	4497..4551	4546..4604	4609..4672	2369..2433	complement(13696..13752)	9588..9642	11654..11726	4068..4126	6383..6442	complement(13846..13900)	complement(11725..11784);complement(14826..14889)	2289..2359	complement(9354..9422)	8200..8260	complement(9832..9898)	4683..4740;11585..11638	9760..9828	complement(8285..8354)	9682..9739	complement(12918..12984)
Gordius sp. VVA-2019	MG257767.1	35	QDH52395.1	QDH52396.1	QDH52384.1	QDH52385.1	QDH52386.1	QDH52387.1	QDH52388.1	QDH52389.1	QDH52390.1	QDH52391.1	QDH52392.1	QDH52393.1	QDH52394.1	complement(12432..13111)	11303..12376	4432..4481	4500..4554	4557..4619	2306..2358	complement(13112..13165)	9123..9172	11163..11226	4012..4067	6329..6390	complement(13169..13224)	complement(11238..11302);complement(14160..14223)	2241..2303	complement(9061..9123)	8024..8083	complement(9298..9360)	4635..4687;11107..11162	9233..9298	complement(8088..8151)	9173..9228	complement(12377..12431)
Gyrodactylus derjavinoides	EU293891.1	34	ABX59339.1	-	ABX59340.1	ABX59341.1	ABX59348.1	ABX59342.1	ABX59338.1	ABX59343.1	ABX59349.1	ABX59344.1	ABX59345.1	ABX59346.1	ABX59347.1	9924..10629	8902..9862	5472..5542	13046..13112	6540..6617	5545..5610	9864..9923	12020..12085	11323..11394	14674..14737	640..702	6662..6731	11953..12019;12977..13045	6732..6795	12089..12152	3217..3282	6625..6682	7149..7209;12908..12981	8845..8901	7213..7277	11886..11952	5404..5466
Halichondria sp. 'urca'	PQ568938.1	28	-	-	-	XXK92817.1	XXK92820.1	-	-	-	XXK92825.1	-	XXK92826.1	XXK92830.1	XXK92824.1	17217..18440	1..2436	16913..16985	9938..10008	5468..5539	9500..9563	12118..12191	5308..5379	8857..8929	18441..18512	8770..8841	13259..13332	13168..13251	3348..3420	complement(2532..2603);13333..13403;complement(17017..17088)	17143..17215	7225..7297	4438..4510;7147..7221;12033..12115	6748..6820	5397..5467	2454..2525	18516..18585
Haliclystus antarcticus	KU947038.1	20	ANH09484.1	ANH09485.1	ANH09487.1	ANH09488.1	ANH09489.1	ANH09486.1	ANH09490.1	ANH09491.1	ANH09492.1	ANH09493.1	ANH09494.1	ANH09495.1	ANH09496.1	11208..12124	complement(1952..3782)	-	-	-	-	-	-	-	-	-	-	complement(1157..1224)	-	7982..8050	complement(12625..12687)	-	complement(15690..15749)	-	6205..6275	-	-
Haliclystus sanjuanensis	JN700944.1	16	AER54558.1	AER54557.1	AER54555.1	AER54556.1	AER54559.1	-	AER54565.1	AER54560.1	AER54563.1	AER54566.1	AER54564.1	AER54561.1	AER54562.1	10851..11761	complement(1594..3423)	-	-	-	-	-	-	-	-	-	-	-	-	7623..7691	-	-	-	-	5846..5916	-	-
Halicryptus spinulosus	FN689349.1	34	CBK55557.1	CBK55556.1	CBK55554.1	CBK55555.1	CBK55558.1	CBK55561.1	CBK55560.1	CBK55566.1	CBK55559.1	CBK55564.1	CBK55563.1	CBK55565.1	CBK55562.1	-	5415..6728	4401..4466	4470..4538	4534..4600	2307..2372	complement(14612..14676)	complement(13380..13445)	complement(13185..13250)	3983..4048	11325..11389	13316..13382	6729..6794;6795..6862	2239..2307	13447..13515	13122..13186	9520..9576	complement(7824..7893)	complement(9586..9649)	14545..14612	complement(14687..14732)	5348..5414
Halitholus cirratus	KT809337.1	15	ALO20834.1	ALO20838.1	-	ALO20833.1	ALO20832.1	ALO20829.1	ALO20830.1	ALO20828.1	ALO20836.1	ALO20827.1	ALO20837.1	ALO20826.1	ALO20835.1	7481..8405	-	-	-	-	-	-	-	-	-	-	-	-	-	4210..4280	-	-	-	-	2429..2498	-	-
Halocynthia roretzi	AB024528.1	34	BAA88261.1	-	BAA88250.1	BAA88256.1	BAA88254.1	BAA88257.1	BAA88260.1	BAA88258.1	BAA88251.1	BAA88252.1	BAA88255.1	BAA88259.1	BAA88253.1	6058..6763	11989..13165	2068..2132	9979..10041	4544..4611	4740..4804	5917..5998	10046..10113	8770..8835	3782..3847;4644..4694	9840..9905	8702..8764	4471..4534;10122..10188	5990..6057	11926..11988	3696..3757	2141..2203	9911..9978;14701..14771	3852..3919	8629..8698	8545..8612	3625..3691
Hebesoma violentum	KC415004.1	31	AHB82304.1	-	AHB82302.1	AHB82311.1	AHB82312.1	AHB82309.1	AHB82310.1	AHB82313.1	AHB82305.1	AHB82307.1	AHB82306.1	AHB82308.1	AHB82303.1	10361..10947	-	12396..12455	12455..12507	12509..12558	3040..3090	11609..11659	1591..1655	10238..10295	1537..1590	6278..6335	9882..9931	2477..2535	4662..4716	10302..10360	10948..11000	7961..8021	3152..3207;10051..10115	-	-	1661..1710	4115..4169
Heterocypris spadix	LC626010.1	20	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11465..11525	11593..11658	11659..11723	9384..9447	complement(6966..7027)	complement(5760..5828)	11779..11842	11050..11112	complement(13594..13655)	5682..5745	complement(2849..2913);8639..8701	11526..11592	5831..5895	complement(11844..11905)	complement(150..213)	1837..1901;11721..11778	86..149	6909..6973	complement(7041..7106)	complement(4057..4117)
Hoilungia sp. H23	MT957399.1	34	QOU12308.1	-	QOU12311.1	QOU12322.1	QOU12313.1	QOU12318.1	QOU12316.1	QOU12315.1	QOU12323.1	QOU12320.1	QOU12317.1	QOU12314.1	QOU12310.1	18647..20302	join(1..974,14854..15631,16442..17413,18179..18517)	32256..32327	980..1050;2519..2589	complement(3893..3965)	2320..2392	20500..20571	22627..22698	complement(30191..30261)	complement(5383..5453)	complement(9786..9856)	22331..22403	2163..2245;32393..32466	complement(4143..4215)	complement(5306..5378);22522..22592	complement(9908..9979)	20672..20742	complement(3987..4078);5197..5287	5117..5190	1944..2014	22739..22818	31417..31487
Hoilungia sp. H24	MT957400.1	34	QOU12324.1	-	QOU12326.1	QOU12338.1	QOU12330.1	QOU12335.1	QOU12333.1	QOU12332.1	QOU12339.1	QOU12336.1	QOU12334.1	QOU12331.1	QOU12325.1	19186..20886	join(1..982,16977..19022)	32833..32904	1064..1134;2445..2515	complement(3558..3630)	2237..2309	21008..21079	23704..23775	complement(30772..30842)	complement(5052..5122)	complement(11870..11940)	23407..23479	2106..2187;32960..33033	4598..4670	complement(4975..5047);23600..23670	complement(11991..12062)	21306..21376	complement(3653..3744);4862..4952	complement(3782..3855)	1999..2069	23803..23882	32121..32191
Holothuria forskali	FN562582.1	35	CBH40183.1	CBH40182.1	CBH40179.1	CBH40181.1	CBH40184.1	CBH40176.1	CBH40177.1	CBH40178.1	CBH40185.1	CBH40186.1	CBH40180.1	CBH40174.1	CBH40175.1	3569..4398	8014..9590	complement(5237..5304)	11166..11232	5095..5165	complement(5606..5674)	5373..5434	complement(5025..5094)	4399..4468	5762..5829	15706..15772	6902..6969	5166..5237;5836..5906	12219..12284	5531..5599	3498..3568	4961..5028	complement(13910..13980);15773..15841	4470..4539	5305..5372	5677..5744	complement(5439..5508)
Holothuroidea sp.	PP977507.1	35	XCI16317.1	XCI16316.1	XCI16313.1	XCI16315.1	XCI16318.1	XCI16322.1	XCI16324.1	XCI16325.1	XCI16319.1	XCI16320.1	XCI16314.1	XCI16321.1	XCI16323.1	9326..10159	14504..15933	complement(10873..10939)	1553..1618	10330..10398	12258..12325	12190..12256	complement(10711..10780)	10158..10224	10611..10675	6118..6186	13389..13456	10804..10873;12321..12391	2605..2668	11456..11524	9257..9327	complement(12010..12075)	4303..4373;6188..6254	10225..10294	12121..12189	10543..10608	10431..10500
Huso dauricus	MK078264.1	35	QUG09777.1	QUG09776.1	QUG09774.1	QUG09775.1	QUG09778.1	QUG09784.1	QUG09772.1	QUG09773.1	QUG09779.1	QUG09781.1	QUG09780.1	QUG09782.1	QUG09783.1	69..1027	1099..2799	complement(5187..5254)	10042..10111	complement(5257..5329)	7142..7213	complement(5363..5429)	complement(3928..3998)	complement(14353..14422)	9620..9692	11783..11851	3858..3928	2800..2873;11920..11992	7916..7992	3998..4067	1..68	complement(15642..15711)	complement(7063..7133);11852..11919	15566..15638	5113..5185	complement(5430..5500)	1028..1098
Hutchinsoniella macracantha	AY456189.1	35	AAS00872.1	AAS00871.1	AAS00869.1	AAS00870.1	AAS00873.1	AAS00879.1	AAS00880.1	AAS00868.1	AAS00874.1	AAS00876.1	AAS00877.1	AAS00875.1	AAS00878.1	complement(14375..15156)	complement(12868..14191)	6170..6236	6236..6298	6365..6432	74..137	complement(15345..15409)	complement(15472..15541)	6504..6568	5085..5151	complement(8372..8433)	complement(15157..15222)	complement(12803..12867);complement(15287..15347)	6300..6362	complement(15221..15286)	complement(6568..6635)	complement(10063..10128)	2..69;6432..6503	10128..10191	complement(15543..15609)	complement(15409..15471)	complement(14192..14256)
Hydrolagus affinis	MT090368.1	35	QIQ47556.1	QIQ47555.1	QIQ47553.1	QIQ47554.1	QIQ47557.1	QIQ47563.1	QIQ47551.1	QIQ47552.1	QIQ47558.1	QIQ47560.1	QIQ47559.1	QIQ47561.1	QIQ47562.1	1539..2494	2563..4227	complement(6610..6669)	11427..11497	complement(6670..6744)	8547..8617	complement(6785..6852)	complement(5348..5420)	complement(15717..15786)	11009..11077	13162..13230	5279..5350	4227..4303;13300..13371	9308..9382	5420..5488	1470..1538	complement(1..69)	complement(8468..8539);13232..13299	16933..17003	6531..6599	complement(6852..6919)	2491..2564
Hydrozoanthus gracilis	MN873589.1	16	QIB71105.1	QIB71109.1	QIB71098.1	QIB71104.1	QIB71103.1	QIB71100.1	QIB71102.1	QIB71101.1	QIB71107.1	QIB71099.1	QIB71108.1	QIB71097.1	QIB71106.1	4499..5683	7623..10305	-	-	-	-	-	-	-	-	-	-	-	-	7512..7582	-	-	-	-	-	-	-
Hyocrinidae sp.	OQ721985.1	35	WNS59356.1	WNS59355.1	WNS59352.1	WNS59354.1	WNS59357.1	WNS59349.1	WNS59351.1	WNS59350.1	WNS59358.1	WNS59359.1	WNS59353.1	WNS59360.1	WNS59348.1	complement(2950..3811)	complement(4006..5529)	complement(2145..2213)	9347..9415	1998..2069	complement(2516..2583)	2286..2353	complement(1925..1995)	complement(2877..2945)	complement(3959..4026)	13945..14015	complement(6669..6739)	2073..2144;complement(3886..3957)	10407..10472	2437..2508	complement(3811..3882)	1854..1922	complement(12118..12188);14017..14083	complement(2806..2875)	2217..2285	complement(5556..5623)	complement(2353..2423)
Idmidronea atlantica	OR460723.1	27	XNJ74257.1	-	-	-	XNJ74262.1	XNJ74260.1	XNJ74261.1	XNJ74256.1	XNJ74255.1	XNJ74263.1	XNJ74258.1	-	XNJ74259.1	2809..3578	4894..6146	10088..10140	689..746	632..688	-	11368..11417	2748..2808	complement(6496..6564)	9270..9324	complement(520..575)	2671..2730	-	-	8187..8245	complement(7007..7067)	6204..6256	complement(6145..6197)	578..633	9210..9269	complement(8251..8305)	-
Isohypsibioidea sp. MV2024	PV030524.1	35	XNT19070.1	XNT19069.1	XNT19067.1	XNT19068.1	XNT19071.1	XNT19077.1	XNT19078.1	XNT19079.1	XNT19072.1	XNT19074.1	XNT19075.1	XNT19073.1	XNT19076.1	complement(13096..13810)	complement(11927..13038)	4346..4407	4410..4472	4476..4536	2283..2345	complement(14920..14980)	complement(13811..13877)	4602..4664	3945..4005	complement(6352..6411)	complement(10703..10765)	complement(10637..10702);complement(10761..10823)	2220..2282	13874..13937	complement(4663..4726)	complement(8061..8119)	4537..4595;9684..9738	7998..8060	14864..14927	complement(14980..15033)	complement(13040..13095)
Krakenella greenlandica	PX569134.1	35	YBW34786.1	YBW34781.1	YBW34780.1	YBW34785.1	YBW34787.1	YBW34790.1	YBW34782.1	YBW34783.1	YBW34788.1	YBW34791.1	YBW34784.1	YBW34792.1	YBW34789.1	2013..2602	3125..4024	6583..6644	12708..12768	7420..7485	12556..12619	6183..6243	6021..6086	1561..1623	2603..2661	14122..14184	9326..9390	1691..1753;2776..2836	2982..3049	9391..9450	1754..1815	6248..6304	1812..1873;2661..2716	6647..6706	12490..12551	12635..12694	2715..2775
Laevipilina antarctica	KY244020.1	35	APQ42964.1	APQ42965.1	APQ42967.1	APQ42966.1	APQ42957.1	APQ42960.1	APQ42958.1	APQ42968.1	APQ42956.1	APQ42962.1	APQ42961.1	APQ42963.1	APQ42959.1	3149..4009	4046..5412	complement(1190..1254)	complement(1256..1320)	2944..3007	2672..2733	complement(428..488)	10290..10357	2500..2562	complement(2254..2317)	10368..10429	complement(1326..1392)	5355..5420;5425..5489	2874..2940	3085..3149	12166..12229	6444..6508	complement(552..613);8538..8602	complement(14243..14306)	2568..2634	2812..2873	4008..4069
Lamellodiscus spari	MH328204.1	31	AXR86360.1	-	AXR86352.1	AXR86353.1	AXR86356.1	AXR86357.1	AXR86362.1	-	AXR86363.1	AXR86359.1	AXR86358.1	AXR86355.1	AXR86354.1	2599..3335	1642..2593	12817..12878	4725..4789	13909..13971	12880..12941	-	11313..11375	4051..4118	-	8619..8682	14056..14123	3920..3985;4584..4648	14130..14197	11389..11453	11173..11237	13978..14044	3985..4050	1581..1641	14549..14614	4662..4727	12944..13010
Laqueus japonicus	MG520333.1	34	AYI69523.1	AYI69529.1	-	AYI69531.1	AYI69528.1	AYI69522.1	AYI69532.1	AYI69530.1	AYI69526.1	AYI69533.1	AYI69527.1	AYI69524.1	AYI69525.1	10841..11614	9687..10808	5467..5527	6439..6492	14208..14267	7817..7877	14093..14153	3666..3728	6549..6608	6979..7039	2703..2762	5993..6046	9634..9688;11678..11738	6607..6666	11615..11677	6492..6551	11739..11798	6670..6720;8031..8088	6383..6439	3729..3789	12686..12746	1540..1599
Leiopelma archeyi	HM142901.1	35	ADG85495.1	ADG85494.1	ADG85492.1	ADG85493.1	ADG85496.1	ADG85501.1	ADG85490.1	ADG85491.1	ADG85497.1	ADG85499.1	ADG85498.1	ADG85500.1	ADG85502.1	70..1018	1088..2696	complement(5064..5132)	9858..9926	complement(5134..5206)	6986..7054	complement(5233..5295)	complement(3810..3880)	complement(16209..16277)	9438..9508	11595..11662	3740..3809	2697..2771;11731..11803	7745..7814	3880..3948	1..69	complement(16295..16362)	complement(6912..6982);11663..11730	14778..14850	4994..5062	complement(5295..5361)	1019..1087
